YB,l,b,r,dl,db,dr,hit rate
238,9.228738683,0.027446212,0.004347894,0.000521303,0.00076901,0.00200131,0.161290323
239,9.240254875,-0.190962327,0.002485963,0.000307544,0.000427921,0.00048586,0.416666667
240,9.332135929,0.86191206,0.001878136,0.000215635,0.000252467,0.000348854,0.227272727
241,9.386836791,-0.134754516,0.0022595,0.000220725,0.000238633,0.00040845,0.133333333
242,9.403841225,-0.091222556,0.004663149,0.000579811,0.000473693,0.002044768,0.613636364
243,9.475807555,0.165721479,0.002512093,0.000452584,0.000300548,0.00098959,0.541666667
244,9.482511209,-0.232817375,0.003402305,0.000171918,0.000736815,0.001516158,0.392857143
245,9.596936204,0.166091089,0.004614111,0.000879747,0.000452427,0.00124799,0.652173913
246,9.597825464,0.198939856,0.002279846,0.000257615,0.000340925,0.000949999,0.210526316
247,9.615715724,0.196450216,0.004794228,0.000857969,0.000690146,0.002757627,0.552631579
248,9.623380438,-0.709564179,0.003926484,0.001451317,0.000553531,0.001724689,0.553571429
249,9.661231435,0.588684886,0.005267153,0.000880843,0.000578161,0.004226053,0.435897436
250,9.711845905,-0.221491319,0.003012908,0.000655639,0.000822435,0.000571502,0.285714286
251,9.8608196,-0.736122644,0.002207776,0.000261876,0.000788577,0.001191003,0.152173913
252,9.874835948,-0.747538643,0.005952498,0.000778726,0.000838853,0.001801552,0.695652174
253,9.926915326,-0.747802707,0.003873434,0.000515003,0.000489545,0.000988825,0.377777778
254,9.957559996,-0.122910743,0.00462835,0.001394555,0.000336887,0.001569218,0.264705882
255,9.963449773,0.068650014,0.00372049,0.000497996,0.000679834,0.001601676,0.153846154
256,9.968084974,-0.209427816,0.003253737,0.000140437,0.000504402,0.000975958,0.5
257,9.997621506,-0.033098314,0.00354096,0.001102653,0.000431128,0.000871174,0.125
258,10.00057182,-0.751536119,0.002625245,0.000313597,0.000242934,0.001128219,0.342857143
259,10.00273408,-0.786410846,0.006479151,0.000225163,0.000326154,0.004472685,0.416666667
260,10.0425717,-0.064755677,0.002241004,0.000360797,0.000224465,0.000879041,0.302325581
261,10.05872566,-0.070980902,0.002099986,0.00021673,0.000254764,0.000804678,0.209302326
262,10.06622894,-0.168306576,0.002814256,0.000491974,0.000370975,0.001933556,0.208333333
263,10.09358115,0.05552924,0.002500395,0.000264678,0.000343131,0.001367828,0.25
264,10.15967977,-0.379888309,0.004802795,0.00056543,0.000943566,0.001084226,0.2
265,10.18559485,-0.395372886,0.004182108,0.000356424,0.000668809,0.001092864,0.6
266,10.19997848,-0.464112829,0.003606262,0.000875955,0.000317866,0.000975113,0.277777778
267,10.21115576,0.42920575,0.005050006,0.000559371,0.000255171,0.001818645,0.382978723
268,10.23808498,0.114226426,0.003660956,0.000605015,0.000588836,0.001597391,0.88372093
269,10.24143848,0.116773782,0.001608093,0.000288769,0.000223198,0.000338213,0.23255814
