YB,YB_long,YB_lat,8umphotom,standard error 8,N8,EX8,12umphotom,standard error 12,N12,EX12,24umphotom,standard error 24,N24,EX24,70umphotom,standard error 70,N70,EX70
ID Number,degree,degree,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count
3350,297.4567992,-0.771577187,0.6855,0.0849,5,0,0.2017,0.0134,5,0,3.0198,0.1093,5,0,19.8883,0.711,5,0
3351,297.4706111,-0.727026475,0.4909,0.1444,5,0,0.3875,0.0412,5,0,4.7905,0.2262,5,0,34.095,2.4594,5,0
3352,297.5089507,-0.773896365,2.1766,0.4039,5,0,1.4442,0.0938,5,0,,,,,78.3566,8.6295,5,0
3353,297.5172724,-0.029215482,0.7393,0.0887,5,0,0.2982,0.0286,5,0,0.6716,0.0829,5,0,13.7787,0.8094,5,0
3354,297.5249424,-0.037680501,0.2765,0.0164,5,0,0.1187,0.0081,5,0,0.2587,0.0158,5,0,1.5297,0.1771,5,0
3355,297.5254006,-0.068910153,0.0577,0.021,5,0,0.0209,0.004,5,0,0.1172,0.0245,5,0,2.0648,0.68,5,0
3356,297.5337217,-0.825206329,4.7935,0.7702,5,0,3.1189,0.1932,5,0,,,,,563.4967,14.7603,5,0
3357,297.5383671,-0.101618122,0.0407,0.0038,5,0,0.0171,0.0023,5,0,0.1644,0.0134,5,0,1.7716,0.1548,5,0
3358,297.6259393,-0.903069603,1.2876,0.2317,5,0,1.1379,0.1424,5,0,6.0416,0.5384,5,0,86.1145,9.0809,5,0
3359,297.6618189,-0.975043411,3.0187,0.4309,3,0,1.1503,0.1106,5,0,,,,,655.0575,20.6589,5,0
3360,297.7215819,-0.701900039,0.0439,0.0151,5,0,0.007,0.0013,5,0,0.0351,0.0025,5,0,0.6495,0.2694,5,0
